,day,month,year,film,released,rating,review_link,film_link,numeric_rating,name,director,rating_value,released_event,url,image
0,23,Sep,2024,The Naked Kiss,1964,×,,/marvelfan69/film/the-naked-kiss/,0,The Naked Kiss,"[{'@type': 'Person', 'name': 'Samuel Fuller', 'sameAs': '/director/samuel-fuller/'}]",3.82,"[{'@type': 'PublicationEvent', 'startDate': '1964'}]",https://letterboxd.com/film/the-naked-kiss/,https://a.ltrbxd.com/resized/film-poster/3/5/6/0/0/35600-the-naked-kiss-0-230-0-345-crop.jpg?v=f49643b659
1,18,Sep,2024,Pickup on South Street,1953,×,,/marvelfan69/film/pickup-on-south-street/,0,Pickup on South Street,"[{'@type': 'Person', 'name': 'Samuel Fuller', 'sameAs': '/director/samuel-fuller/'}]",3.93,"[{'@type': 'PublicationEvent', 'startDate': '1953'}]",https://letterboxd.com/film/pickup-on-south-street/,https://a.ltrbxd.com/resized/film-poster/3/5/6/6/1/35661-pickup-on-south-street-0-230-0-345-crop.jpg?v=341247f235
2,17,Sep,2024,Death Proof,2007,×,,/marvelfan69/film/death-proof/1/,0,Death Proof,"[{'@type': 'Person', 'name': 'Quentin Tarantino', 'sameAs': '/director/quentin-tarantino/'}]",3.57,"[{'@type': 'PublicationEvent', 'startDate': '2007'}]",https://letterboxd.com/film/death-proof/,https://a.ltrbxd.com/resized/film-poster/5/0/6/2/1/50621-death-proof-0-230-0-345-crop.jpg?v=e95daf344f
3,16,Sep,2024,Reservoir Dogs,1992,×,,/marvelfan69/film/reservoir-dogs/1/,0,Reservoir Dogs,"[{'@type': 'Person', 'name': 'Quentin Tarantino', 'sameAs': '/director/quentin-tarantino/'}]",4.15,"[{'@type': 'PublicationEvent', 'startDate': '1992'}]",https://letterboxd.com/film/reservoir-dogs/,https://a.ltrbxd.com/resized/sm/upload/u0/4o/op/yx/g7spS2Y4SZoQoC6Hn7zoqEqdYqR-0-230-0-345-crop.jpg?v=6d1aaa720c
4,08,Sep,2024,The Manchurian Candidate,2004,×,,/marvelfan69/film/the-manchurian-candidate-2004/,0,The Manchurian Candidate,"[{'@type': 'Person', 'name': 'Jonathan Demme', 'sameAs': '/director/jonathan-demme/'}]",3.28,"[{'@type': 'PublicationEvent', 'startDate': '2004'}]",https://letterboxd.com/film/the-manchurian-candidate-2004/,https://a.ltrbxd.com/resized/sm/upload/f6/hz/37/mh/7gZZ6Qk2TZf4bEXHYbBEFlH8emJ-0-230-0-345-crop.jpg?v=a9f2c0d770
5,31,Aug,2024,Double Indemnity,1944,×,,/marvelfan69/film/double-indemnity/,0,Double Indemnity,"[{'@type': 'Person', 'name': 'Billy Wilder', 'sameAs': '/director/billy-wilder/'}]",4.26,"[{'@type': 'PublicationEvent', 'startDate': '1944'}]",https://letterboxd.com/film/double-indemnity/,https://a.ltrbxd.com/resized/film-poster/5/1/1/7/3/51173-double-indemnity-0-230-0-345-crop.jpg?v=8e753e6645
6,28,Aug,2024,The Lady Eve,1941,×,,/marvelfan69/film/the-lady-eve/,0,The Lady Eve,"[{'@type': 'Person', 'name': 'Preston Sturges', 'sameAs': '/director/preston-sturges/'}]",3.95,"[{'@type': 'PublicationEvent', 'startDate': '1941'}]",https://letterboxd.com/film/the-lady-eve/,https://a.ltrbxd.com/resized/sm/upload/v6/u2/1r/z1/lady%20eve-0-230-0-345-crop.jpg?v=2c31682b2d
7,26,Aug,2024,My Darling Clementine,1946,×,,/marvelfan69/film/my-darling-clementine/,0,My Darling Clementine,"[{'@type': 'Person', 'name': 'John Ford', 'sameAs': '/director/john-ford-2/'}]",4.08,"[{'@type': 'PublicationEvent', 'startDate': '1946'}]",https://letterboxd.com/film/my-darling-clementine/,https://a.ltrbxd.com/resized/sm/upload/a9/pr/u0/bt/1y0DvLUCEVVnregAY4pdAkhCGwD-0-230-0-345-crop.jpg?v=bd5f4d94e8
8,25,Aug,2024,On the Waterfront,1954,×,,/marvelfan69/film/on-the-waterfront/,0,On the Waterfront,"[{'@type': 'Person', 'name': 'Elia Kazan', 'sameAs': '/director/elia-kazan/'}]",4.17,"[{'@type': 'PublicationEvent', 'startDate': '1954'}]",https://letterboxd.com/film/on-the-waterfront/,https://a.ltrbxd.com/resized/film-poster/5/1/4/7/0/51470-on-the-waterfront-0-230-0-345-crop.jpg?v=ab41f427a0
9,22,Aug,2024,Alien: Romulus,2024,×,,/marvelfan69/film/alien-romulus/,0,Alien: Romulus,"[{'@type': 'Person', 'name': 'Fede Álvarez', 'sameAs': '/director/fede-alvarez-1/'}]",3.66,"[{'@type': 'PublicationEvent', 'startDate': '2024'}]",https://letterboxd.com/film/alien-romulus/,https://a.ltrbxd.com/resized/film-poster/8/5/0/4/5/9/850459-alien-romulus-0-230-0-345-crop.jpg?v=acabb7fd83
10,09,Aug,2024,Snake Eyes,1998,×,,/marvelfan69/film/snake-eyes/,0,Snake Eyes,"[{'@type': 'Person', 'name': 'Brian De Palma', 'sameAs': '/director/brian-de-palma/'}]",3.38,"[{'@type': 'PublicationEvent', 'startDate': '1998'}]",https://letterboxd.com/film/snake-eyes/,https://a.ltrbxd.com/resized/film-poster/4/7/6/4/7/47647-snake-eyes-0-230-0-345-crop.jpg?v=bff5c17c0c
11,07,Aug,2024,Husbands and Wives,1992,×,,/marvelfan69/film/husbands-and-wives/,0,Husbands and Wives,"[{'@type': 'Person', 'name': 'Woody Allen', 'sameAs': '/director/woody-allen/'}]",3.88,"[{'@type': 'PublicationEvent', 'startDate': '1992'}]",https://letterboxd.com/film/husbands-and-wives/,https://a.ltrbxd.com/resized/film-poster/3/3/7/1/7/33717-husbands-and-wives-0-230-0-345-crop.jpg?v=2ab6086ad8
12,04,Aug,2024,Hit Man,2023,×,,/marvelfan69/film/hit-man-2023/,0,Hit Man,"[{'@type': 'Person', 'name': 'Richard Linklater', 'sameAs': '/director/richard-linklater/'}]",3.38,"[{'@type': 'PublicationEvent', 'startDate': '2023'}]",https://letterboxd.com/film/hit-man-2023/,https://a.ltrbxd.com/resized/film-poster/8/7/7/0/4/6/877046-hit-man-0-230-0-345-crop.jpg?v=7a8e101a9d
